Brand,Title,Price,Product URL,Description,Rating,Sizes,Inventory By Location,Source Brand Page
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027436/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Thermal Top,Rs. 483Rs. 849(43% OFF),https://www.myntra.com/thermal-tops/levis/levis-mens-round-neck-half-sleeve-thermal-regular-fit-top/10723252/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 511 Slim Fit Jeans,Rs. 1439Rs. 2999(52% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-light-fade-stretchable-jeans/25756782/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Neo Briefs,Rs. 201Rs. 249(19% OFF),https://www.myntra.com/briefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9263091/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Pack of 2 Solid Briefs,Rs. 383Rs. 479(20% OFF),https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262603/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 512 Slim Fit Jeans,Rs. 1739Rs. 2999(42% OFF),https://www.myntra.com/jeans/levis/levis-men-512--low-rise-light-fade-stretchable-tapered-fit-jeans/25756744/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027432/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Innerwear Vest,Rs. 239Rs. 279(14% OFF),https://www.myntra.com/innerwear-vests/levis/levis-men-solid-scoop-neck-sleeveless-pure-cotton-classic-vest/9270955/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Pack of 2 Assorted Trunks,Rs. 448Rs. 598(25% OFF),https://www.myntra.com/trunk/levis/levis-men-pack-of-2-assorted-solid-trunks-020/14447638/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Pure Cotton Neo Brief,Rs. 201Rs. 249(19% OFF),https://www.myntra.com/briefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262481/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Innerwear Vest,Rs. 279Rs. 329(15% OFF),https://www.myntra.com/innerwear-vests/levis/levis-men-solid-round-neck-sleeveless-pure-cotton-rib-vest/9270895/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Pack of 2 Assorted Trunks,Rs. 433Rs. 578(25% OFF),https://www.myntra.com/trunk/levis/levis-men-pack-of-2-solid-cotton-rib-ultrasoft-waistband-shorter-length-trunk/14447636/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Cotton Sweatshirt & Shorts,Rs. 1871Rs. 3899(52% OFF),https://www.myntra.com/co-ords/levis/levis-pure-cotton-printed-sweatshirt--shorts/32905216/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Checked Backpack- 17 Ltr,Rs. 839Rs. 1999(58% OFF),https://www.myntra.com/backpacks/levis/levis-men-checked-backpack---17-ltr/26436538/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Assorted Solid Trunks,Rs. 259Rs. 345(25% OFF),https://www.myntra.com/trunk/levis/levis-men-assorted-solid-trunks-018-trunk-asst-p1/14461444/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Pack of 2 Neo Briefs,Rs. 383Rs. 479(20% OFF),https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262443/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Thermal Top,Rs. 483Rs. 849(43% OFF),https://www.myntra.com/thermal-tops/levis/levis-mens-round-neck-half-sleeve-thermal-regular-fit-top-grey/10723242/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Slim Fit Jeans,Rs. 1739Rs. 2999(42% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-low-rise-light-fade-stretchable-jeans/25756832/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid V-Neck Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-pure-cotton-v-neck-short-sleeve-tshirt/12027420/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Pack of 2 Assorted Briefs,Rs. 283Rs. 378(25% OFF),https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-pure-cotton-brief-with-smartskin-technology/14447770/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Brand Logo Printed Trunk,Rs. 469Rs. 649(28% OFF),https://www.myntra.com/trunk/levis/levis-men-solid-micro-modal-strech-supima-cotton-shorter-length-trunk/30144089/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027422/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid V-Neck Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-pure-cotton-v-neck-short-sleeve-tshirt/12027434/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men Solid Pure Cotton Boxers,Rs. 521Rs. 899(42% OFF),https://www.myntra.com/boxers/levis/levis-men-solid-cotton-woven-soft--boxer-shorts-with-side-pocket/11870958/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Pack of 2 Cotton Briefs,Rs. 383Rs. 479(20% OFF),https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262607/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Solid Lounge T-shirt,Rs. 558Rs. 649(14% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027418/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 511 Slim Fit Jeans,Rs. 2204Rs. 3499(37% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-stretchable-jeans/35552287/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Printed Pure Cotton Boxers,Rs. 575Rs. 799(28% OFF),https://www.myntra.com/boxers/levis/levis-men-printed-cotton-woven-soft--boxer-shorts-with-side-pocket/30143920/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 511 Slim Fit Jeans,Rs. 1971Rs. 3399(42% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-light-fade-stretchable-jeans/35552316/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
Levis,Men 511 Slim Fit Jeans,Rs. 1589Rs. 2999(47% OFF),https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/25756766/buy,,,,"{'641654': 'Not Available / Error', '600001': 'Not Available / Error', '560001': 'Not Available / Error'}",https://www.myntra.com/levis
